# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight
5,0.20,10,0.60,0,0.00,0,0.00
8,0.32,4,0.16,1,0.20,0,0.00
8,0.32,4,0.16,1,0.20,0,0.00
8,0.30,6,0.20,0,0.00,3,0.45
16,0.50,6,0.20,0,0.00,3,0.30
9,0.36,0,0.00,0,0.00,4,0.48
11,0.25,5,0.15,1,0.20,3,0.30
11,0.25,4,0.15,1,0.20,3,0.30
10,0.25,9,0.15,1,0.20,3,0.30
10,0.25,6,0.15,1,0.20,3,0.30
10,0.25,1,0.10,1,0.20,3,0.30
10,0.25,1,0.10,1,0.20,3,0.30
12,0.45,11,0.50,0,0.00,0,0.00
8,0.15,1,0.10,1,0.22,3,0.42
4,0.20,0,0.00,0,0.00,4,0.80
6,0.15,0,0.00,1,0.25,2,0.40
6,0.15,0,0.00,1,0.25,2,0.40
0,0,11,0.95,0,0,0,0
11,0.25,1,0.2,0,0,2,0.5
0,0,3,0.84,0,0,0,0
14,0.1,0,0,1,0.3,3,0.5
10,0.15,0,0,1,0.3,2,0.4
10,0.15,0,0,1,0.3,2,0.4
11,0.15,0,0,1,0.2125,3,0.6375
11,0.5,0,0,0,0,3,0.5
14,0.1,2,0.15,1,0.35,1,0.2
13,0.10,0,0.00,1,0.25,2,0.40
0,0.00,0,0.00,1,0.20,3,0.55
12,0.05,0,0.00,0,0.00,3,0.80
10,0.19,0,0.00,0,0.00,3,0.60
8,0.08,1,0.15,1,0.30,2,0.44
13,0.27,0,0.00,1,0.30,2,0.38
12,0.40,2,0.30,0,0.00,2,0.30
5,0.50,0,0.00,0,0.00,2,0.50
21,0.70,1,0.30,0,0.00,0,0.00
15,0.15,3,0.30,1,0.20,1,0.20
15,0.15,3,0.30,1,0.20,1,0.20
15,0.15,3,0.30,1,0.20,1,0.20
7,0.50,0,0.00,1,0.30,1,0.20
7,0.55,0,0.00,0,0.00,2,0.45
11,0.22,0,0.00,1,0.24,2,0.49
0,0.00,4,0.60,0,0.00,0,0.00
11,0.60,1,0.40,0,0.00,0,0.00
15,0.05,1,0.35,0,0.00,3,0.60
13,0.25,0,0.00,1,0.35,2,0.40
14,0.15,0,0.00,1,0.25,2,0.45
6,0.15,5,0.30,0,0.00,3,0.45
17,0.15,0,0.00,1,0.30,2,0.50
8,0.30,0,0.00,1,0.30,2,0.40
7,0.10,0,0.00,1,0.45,2,0.40
12,0.65,3,0.15,0,0.00,0,0.00
7,0.15,0,0.00,1,0.35,0,0.00
12,0.15,0,0.00,1,0.30,2,0.50
12,0.20,0,0.00,1,0.40,2,0.40
9,0.10,0,0.00,1,0.40,2,0.50
9,0.10,0,0.00,1,0.40,2,0.50
7,0.10,0,0.00,1,0.30,2,0.50
10,0.20,1,0.10,1,0.30,2,0.35
10,0.20,1,0.10,1,0.30,2,0.35
9,0.08,1,0.40,0,0.00,2,0.45
13,0.20,0,0.00,1,0.35,3,0.45
0,0.00,0,0.00,1,0.30,2,0.50
0,0.00,0,0.00,1,0.35,2,0.50
11,0.10,0,0.00,1,0.30,3,0.50
10,0.15,0,0.00,1,0.30,2,0.40
12,0.15,0,0.00,1,0.35,2,0.50
0,0.00,0,0.00,1,0.30,2,0.50
12,0.10,3,0.15,1,0.25,2,0.40
12,0.20,0,0.00,1,0.35,3,0.45
0,0.00,0,0.00,1,0.30,2,0.50
11,0.10,0,0.00,1,0.30,3,0.50
21,0.40,0,0.00,0,0.00,3,0.55
9,0.10,0,0.00,1,0.40,2,0.45
12,0.10,3,0.15,1,0.25,2,0.40
21,0.40,0,0.00,0,0.00,3,0.55
12,0.15,0,0.00,1,0.35,3,0.45
10,0.15,0,0.00,1,0.30,2,0.40
10,0.10,0,0.00,1,0.35,2,0.40
38,0.49,2,0.51,0,0.00,0,0.00
6,0.15,2,0.25,0,0.00,3,0.60
5,0.30,4,0.45,0,0.00,0,0.00
0,0.00,3,1.00,0,0.00,0,0.00
12,0.20,1,0.35,0,0.00,0,0.00
4,0.40,1,0.20,0,0.00,2,0.40
12,0.20,1,0.30,0,0.00,2,0.50
12,0.15,0,0.00,1,0.20,3,0.60
14,0.20,1,0.10,1,0.30,2,0.35
5,0.50,4,0.40,0,0.00,0,0.00
0,0.00,1,0.50,0,0.00,2,0.40
13,0.20,3,0.55,0,0.00,3,0.20
8,0.14,0,0.00,1,0.25,3,0.45
12,0.05,0,0.00,1,0.30,3,0.55
9,0.27,5,0.49,0,0.00,0,0.00
11,0.20,0,0.00,1,0.40,2,0.40
12,0.15,3,0.15,1,0.25,3,0.40
13,0.20,5,0.50,0,0.00,3,0.20
14,0.15,0,0.00,1,0.35,2,0.50
12,0.20,0,0.00,1,0.20,2,0.30
12,0.20,0,0.00,1,0.20,2,0.30
13,0.10,0,0.00,1,0.25,2,0.50
9,0.30,1,0.15,1,0.20,2,0.35
9,0.30,1,0.15,1,0.20,2,0.35
9,0.30,1,0.15,1,0.20,2,0.35
END,END,END,END,END,END,END,END