Class F,Class D,Class C,Class B,Class A
0.48,1.58,4.11,15.03,78.80
1.20,4.82,19.28,39.76,34.94
0.00,5.97,16.42,41.79,35.82
3.17,6.35,16.67,48.41,25.40
3.43,2.05,32.19,45.21,17.12
5.63,3.52,17.61,39.44,33.80
5.36,6.55,19.64,35.12,33.33
7.50,6.25,22.50,34.38,29.37
7.10,7.10,12.26,34.19,39.35
6.56,2.19,10.95,35.77,44.53
1.55,0.78,17.83,41.86,37.98
3.85,3.08,13.07,40.00,40.00
2.42,0.00,4.03,17.74,75.81
2.87,9.20,29.89,35.63,22.41
7.15,0.00,28.57,28.57,35.71
6.90,3.45,6.90,37.93,44.82
1.72,1.72,13.79,31.03,51.74
0.00,0.00,0.00,37.04,62.96
0.00,0.00,0.00,63.64,36.36
0.00,0.00,0.00,11.11,88.89
0.95,0.47,3.32,15.64,79.62
0.00,0.00,17.39,34.78,47.83
0.00,0.00,5.41,37.84,56.75
0.00,0.00,26.67,60.00,13.33
1.31,0.00,1.96,11.76,84.97
0.71,0.00,13.57,51.43,34.29
2.74,5.48,41.10,35.62,15.06
1.56,10.94,18.75,42.19,26.56
1.39,11.11,33.33,36.11,18.06
1.96,1.96,3.92,23.53,68.63
0.00,11.37,9.09,36.36,43.18
3.57,3.57,17.86,32.14,42.86
0.00,4.17,0.00,41.67,54.17
1.61,0.00,17.74,22.58,58.06
3.77,1.89,3.77,15.09,75.48
5.37,5.37,8.72,26.85,53.69
3.21,1.92,10.90,26.28,57.69
6.54,2.61,15.03,17.65,58.17
0.00,2.50,7.50,40.00,50.00
0.00,0.00,18.18,36.37,45.45
2.42,5.14,18.72,35.35,38.37
0.00,0.00,0.00,3.57,96.43
0.00,0.00,12.50,12.50,75.00
0.00,0.00,2.08,12.50,85.42
6.06,18.18,24.24,18.18,33.34
6.45,0.00,22.58,48.39,22.58
0.00,0.00,0.95,23.81,75.24
0.00,6.67,46.66,10.00,36.67
0.00,3.33,16.67,26.67,53.33
4.00,4.00,14.00,38.00,40.00
0.00,0.00,0.00,9.52,90.48
1.27,0.00,20.25,46.84,31.65
0.00,6.67,46.67,10.00,36.67
1.83,1.83,30.28,38.53,27.53
0.00,0.00,8.43,42.17,49.40
2.25,1.12,8.99,51.69,35.95
0.00,1.41,23.94,35.21,39.44
0.00,8.33,8.33,58.34,25.00
0.00,5.00,10.00,30.00,55.00
0.00,0.00,9.09,50.00,40.91
2.80,4.90,11.89,20.28,60.14
1.11,3.33,24.44,45.56,25.56
0.00,0.00,9.09,50.91,40.00
0.76,4.58,35.88,25.95,32.82
0.00,3.13,31.25,46.88,18.75
0.00,1.64,39.34,29.51,29.51
0.00,0.00,2.70,48.65,48.65
0.00,1.17,28.24,2.35,68.24
0.70,0.00,6.29,13.99,79.02
1.15,3.45,25.29,37.93,32.18
3.08,6.15,24.62,28.46,37.69
0.76,0.00,12.88,25.76,60.61
4.35,2.17,13.04,30.43,50.00
0.67,2.67,14.00,45.33,37.33
1.28,0.00,1.28,8.97,88.46
0.00,0.00,5.05,36.36,58.59
0.00,0.00,2.53,16.46,81.01
0.00,0.00,2.38,57.14,40.48
2.27,2.27,9.09,15.92,70.45
0.78,0.00,14.06,40.63,44.53
0.00,0.00,4.55,36.36,59.09
0.00,7.69,23.08,38.46,30.77
0.00,0.00,0.00,26.47,73.53
0.00,0.00,0.00,14.29,85.71
0.00,0.00,6.67,33.33,60.00
0.00,0.00,7.14,42.86,50.00
0.00,0.60,7.78,46.11,45.51
1.49,0.00,1.50,13.43,83.58
0.83,1.65,4.13,16.53,76.86
3.85,3.85,0.00,42.30,50.00
6.14,2.63,18.42,21.93,50.88
1.68,1.68,33.62,31.93,31.09
0.00,0.00,9.37,28.13,62.50
0.00,1.03,40.21,23.71,35.05
0.86,0.00,4.31,43.97,50.86
0.00,1.85,3.70,24.07,70.38
1.43,2.86,40.00,28.57,27.14
0.00,2.63,25.00,35.53,36.84
4.11,4.11,24.65,30.14,36.99
0.80,3.40,6.60,32.20,57.00
2.28,13.58,13.58,29.58,40.98
0.40,10.40,14.40,44.40,30.40
0.02,6.92,13.82,37.92,41.32
END,END,END,END,END