"FAIL (D,F)",CLOSE PASS (C),"CLEAR PASS (A,B)"
2.06,4.11,93.83
6.02,19.28,74.70
5.97,16.42,77.61
9.52,16.67,73.81
5.48,32.19,62.33
9.15,17.61,73.24
11.91,19.64,68.45
13.75,22.50,63.75
14.20,12.26,73.54
8.75,10.95,80.30
2.33,17.83,79.84
6.93,13.07,80.00
2.42,4.03,93.55
12.07,29.89,58.04
7.15,28.57,64.28
10.35,6.90,82.75
3.44,13.79,82.77
0.00,0.00,100.00
0.00,0.00,100.00
0.00,0.00,100.00
1.42,3.32,95.26
0.00,17.39,82.61
0.00,5.41,94.59
0.00,26.67,73.33
1.31,1.96,96.73
0.71,13.57,85.72
8.22,41.10,50.68
12.50,18.75,68.75
12.50,33.33,54.17
3.92,3.92,92.16
11.37,9.09,79.54
7.14,17.86,75.00
4.17,0.00,95.83
1.61,17.74,80.65
5.66,3.77,90.57
10.74,8.72,80.54
5.13,10.90,83.97
9.15,15.03,75.82
2.50,7.50,90.00
0.00,18.18,81.82
7.56,18.72,73.72
0.00,0.00,100.00
0.00,12.50,87.50
0.00,2.08,97.92
24.24,24.24,51.52
6.45,22.58,70.97
0.00,0.95,99.05
6.67,46.66,46.67
3.33,16.67,80.00
8.00,14.00,78.00
0.00,0.00,100.00
1.27,20.25,78.48
6.67,46.67,46.67
3.66,30.28,66.06
0.00,8.43,91.57
3.37,8.99,87.64
1.41,23.94,74.65
8.33,8.33,83.34
5.00,10.00,85.00
0.00,9.09,90.91
7.69,11.89,80.42
4.44,24.44,71.11
0.00,9.09,90.91
5.34,35.88,58.78
3.13,31.25,65.63
1.64,39.34,59.02
0.00,2.70,97.30
1.17,28.24,70.59
0.70,6.29,93.01
4.60,25.29,70.11
9.23,24.62,66.15
0.76,12.88,86.36
6.52,13.04,80.43
3.33,14.00,82.67
1.28,1.28,97.44
0.00,5.05,94.95
0.00,2.53,97.47
0.00,2.38,97.62
4.54,9.09,86.37
0.78,14.06,85.16
0.00,4.55,95.45
7.69,23.08,69.23
0.00,0.00,100.00
0.00,0.00,100.00
0.00,6.67,93.33
0.00,7.14,92.86
0.60,7.78,91.62
1.49,1.50,97.01
2.48,4.13,93.39
7.70,0.00,92.30
8.77,18.42,72.81
3.36,33.62,63.02
0.00,9.37,90.63
1.03,40.21,58.76
0.86,4.31,94.83
1.85,3.70,94.45
4.29,40.00,55.71
2.63,25.00,72.37
8.22,24.65,67.13
4.20,6.60,89.20
15.86,13.58,70.56
10.80,14.40,74.80
6.94,13.82,79.24
END,END,END